countrycode,year,month,area,births,TFR,country,births_yearly,population,modate,CBR
AUS,2012,1,1,25585.529,1.9299999,Australia,308309.81,22852644,624,.013435047
AUS,2012,2,1,25344.051,1.91,Australia,308309.81,22852644,625,.013308246
AUS,2012,3,1,25405.461,1.91,Australia,308309.81,22852644,626,.013340493
AUS,2012,4,1,25511.4,1.92,Australia,308309.81,22852644,627,.013396122
AUS,2012,5,1,25660.689,1.9299999,Australia,308309.81,22852644,628,.013474514
AUS,2012,6,1,25721.699,1.9299999,Australia,308309.81,22852644,629,.01350655
AUS,2012,7,1,25757.07,1.9299999,Australia,308309.81,22852644,630,.013525124
AUS,2012,8,1,25873.01,1.9400001,Australia,308309.81,22852644,631,.013586004
AUS,2012,9,1,25483.6,1.9,Australia,308309.81,22852644,632,.013381524
AUS,2012,10,1,26021.6,1.9400001,Australia,308309.81,22852644,633,.01366403
AUS,2012,11,1,26065.75,1.9400001,Australia,308309.81,22852644,634,.013687213
AUS,2012,12,1,25879.961,1.9299999,Australia,308309.81,22852644,635,.013589654
AUS,2013,1,1,25695.439,1.91,Australia,305872.81,23236270.5,636,.013269998
AUS,2013,2,1,25766.301,1.91,Australia,305872.81,23236270.5,637,.013306594
AUS,2013,3,1,25720.289,1.91,Australia,305872.81,23236270.5,638,.013282832
AUS,2013,4,1,25247.939,1.87,Australia,305872.81,23236270.5,639,.013038894
AUS,2013,5,1,25768.859,1.91,Australia,305872.81,23236270.5,640,.013307915
AUS,2013,6,1,25772.99,1.9,Australia,305872.81,23236270.5,641,.013310049
AUS,2013,7,1,25213.59,1.86,Australia,305872.81,23236270.5,642,.013021155
AUS,2013,8,1,25278.51,1.85,Australia,305872.81,23236270.5,643,.013054682
AUS,2013,9,1,25294.471,1.85,Australia,305872.81,23236270.5,644,.013062924
AUS,2013,10,1,25076.1,1.8200001,Australia,305872.81,23236270.5,645,.01295015
AUS,2013,11,1,25513.609,1.85,Australia,305872.81,23236270.5,646,.013176096
AUS,2013,12,1,25524.73,1.84,Australia,305872.81,23236270.5,647,.013181838
AUS,2014,1,1,24935.27,1.79,Australia,308375.94,23595600.5,648,.012681315
AUS,2014,2,1,26515.779,1.89,Australia,308375.94,23595600.5,649,.013485113
AUS,2014,3,1,25744.51,1.83,Australia,308375.94,23595600.5,650,.01309287
AUS,2014,4,1,25722.9,1.8200001,Australia,308375.94,23595600.5,651,.013081879
AUS,2014,5,1,25593.16,1.8099999,Australia,308375.94,23595600.5,652,.013015898
AUS,2014,6,1,25440.77,1.79,Australia,308375.94,23595600.5,653,.012938396
AUS,2014,7,1,25782.59,1.8099999,Australia,308375.94,23595600.5,654,.013112236
AUS,2014,8,1,25599.359,1.8,Australia,308375.94,23595600.5,655,.01301905
AUS,2014,9,1,25768.141,1.8099999,Australia,308375.94,23595600.5,656,.013104888
AUS,2014,10,1,25943.99,1.8200001,Australia,308375.94,23595600.5,657,.013194319
AUS,2014,11,1,25731.08,1.8099999,Australia,308375.94,23595600.5,658,.01308604
AUS,2014,12,1,25598.391,1.8,Australia,308375.94,23595600.5,659,.013018558
AUS,2015,1,1,25506.08,1.8,Australia,304640.03,23948002,660,.012780731
AUS,2015,2,1,25277.18,1.78,Australia,304640.03,23948002,661,.012666032
AUS,2015,3,1,25181.6,1.78,Australia,304640.03,23948002,662,.012618138
AUS,2015,4,1,25102.721,1.78,Australia,304640.03,23948002,663,.012578613
AUS,2015,5,1,25158.5,1.78,Australia,304640.03,23948002,664,.012606563
AUS,2015,6,1,25048.27,1.78,Australia,304640.03,23948002,665,.012551328
AUS,2015,7,1,25773.42,1.83,Australia,304640.03,23948002,666,.012914691
AUS,2015,8,1,25623.16,1.8099999,Australia,304640.03,23948002,667,.012839397
AUS,2015,9,1,25444.84,1.8,Australia,304640.03,23948002,668,.012750044
AUS,2015,10,1,25529.859,1.8,Australia,304640.03,23948002,669,.012792646
AUS,2015,11,1,25340.01,1.78,Australia,304640.03,23948002,670,.012697515
AUS,2015,12,1,25654.381,1.8,Australia,304640.03,23948002,671,.012855042
AUS,2016,1,1,25695.27,1.8,Australia,309473.13,24329963,672,.012673395
AUS,2016,2,1,26054.439,1.8200001,Australia,309473.13,24329963,673,.012850544
AUS,2016,3,1,26025.811,1.8200001,Australia,309473.13,24329963,674,.012836425
AUS,2016,4,1,26364.65,1.84,Australia,309473.13,24329963,675,.013003547
AUS,2016,5,1,25944.35,1.8,Australia,309473.13,24329963,676,.012796246
AUS,2016,6,1,26091.5,1.8099999,Australia,309473.13,24329963,677,.012868823
AUS,2016,7,1,25865.49,1.79,Australia,309473.13,24329963,678,.012757352
AUS,2016,8,1,25439.699,1.76,Australia,309473.13,24329963,679,.012547343
AUS,2016,9,1,25741.93,1.78,Australia,309473.13,24329963,680,.012696409
AUS,2016,10,1,25577.93,1.77,Australia,309473.13,24329963,681,.012615521
AUS,2016,11,1,25328.1,1.76,Australia,309473.13,24329963,682,.0124923
AUS,2016,12,1,25343.961,1.76,Australia,309473.13,24329963,683,.012500123
AUS,2017,1,1,25446.529,1.76,Australia,301401.19,24731038.5,684,.01234717
AUS,2017,2,1,25096.16,1.74,Australia,301401.19,24731038.5,685,.012177165
AUS,2017,3,1,25157.801,1.74,Australia,301401.19,24731038.5,686,.012207074
AUS,2017,4,1,25230.77,1.75,Australia,301401.19,24731038.5,687,.012242479
AUS,2017,5,1,24954.34,1.73,Australia,301401.19,24731038.5,688,.01210835
AUS,2017,6,1,25178.82,1.75,Australia,301401.19,24731038.5,689,.012217273
AUS,2017,7,1,25094.25,1.74,Australia,301401.19,24731038.5,690,.012176238
AUS,2017,8,1,25314.34,1.76,Australia,301401.19,24731038.5,691,.01228303
AUS,2017,9,1,25126.59,1.75,Australia,301401.19,24731038.5,692,.01219193
AUS,2017,10,1,24881.891,1.73,Australia,301401.19,24731038.5,693,.012073196
